id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
29323288,https://www.nocarz.pl/rooms/29323288,,,city scrape,Chambre romantique avec accès à la cuisine,"The bedroom is located in an apartment, on the garden floor, in a villa formed of three apartments, in the city center. The apartment is composed of 5 bedrooms. Rooms are rented on nocarz, as well as the entire or separate apartment into two apartments. My place is close to restaurants, family-friendly activities, nightlife, public transportation. Kitchen is available for tenants.","It is an old industrial district, surrounded by villas and shops. It is a 10-minute walk from the train station. Several public transport are located 2 minutes from the accommodation. The city center is 15 minutes away by walking.",https://a0.muscache.com/pictures/752e5603-78dd-4243-8d43-2b8e656d4990.jpg,44666245,https://www.nocarz.pl/users/show/44666245,Marie Et Jules,2015-09-20,"Geneva, Switzerland","Mon conjoint et moi-même pouvons recevoir des hôtes dans cinq chambres doubles, avec salles de bains, dans le cadre de ""Mon jardin en Ville"". Il est aussi possible de louer les chambres avec accès à la cuisine et au reste de l'appartement ou de louer tout l'appartement-souplex, dans une zone industrielle, sur la rive-droite de Genève, proche de toutes commodités.",within an hour,,100%,f,https://a0.muscache.com/im/pictures/user/User-44666245/original/64f594c4-3acf-4335-86af-31aec8bdee3a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-44666245/original/64f594c4-3acf-4335-86af-31aec8bdee3a.jpeg?aki_policy=profile_x_medium,,15,24,,t,t,"Genève, Switzerland",Commune de Genève,,46.21044,6.12421,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Hair dryer"", ""Private backyard \u2013 Fully fenced"", ""Siemens induction stove"", ""Hot water kettle"", ""Shared patio or balcony"", ""Bathtub"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Garden view"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free driveway parking on premises \u2013 2 spaces"", ""Lockbox"", ""Drying rack for clothing"", ""Fast wifi \u2013 139 Mbps"", ""Clothing storage: wardrobe"", ""Self check-in"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Outdoor dining area"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Sun loungers"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Baby bath - available upon request"", ""Changing table - available upon request"", ""Room-darkening shades""]",$72.00,2,,2,2,1125,1125,,,,t,15,19,37,230,2024-12-29,12,0,0,2018-11-02,2022-11-19,4.83,4.92,4.92,5.0,4.83,,4.75,,t,15,7,,0,
48052265,https://www.nocarz.pl/rooms/48052265,20241229042300,2024-12-29,previous scrape,Quiet & cozy wooden loft downtown: 3 bedrooms,"A real nocarz in which my family and I live but share when on vacation! Huge windows & sky light give this cozy wooden loft generous amounts of natural sunlight. Fully equipped kitchen with more than just salt and pepper;) Located near train station & 20’ bus from airport, this location is perfect to explore Geneva. Close to multiple trams and buses with lots of food options plus a large projector and screen. Perfect for families, couples, or a group of travelling friends! Welcome",Next to the train station and multiple buses/trams. A 15 minute walk to the lake and close to many good restaurants as well as the grottes neighborhood. Fantastic location yet calm at night as it is on the 5th floor on a calm street.,https://a0.muscache.com/pictures/3b0824cd-6778-4286-9679-c6e4a58afd1f.jpg,8812670,https://www.nocarz.pl/users/show/8812670,Yann,2013-09-13,"Geneva, Switzerland","I have dedicated most of my free time and money to explore... Especially places that are culturally different than mine. After the birth of my twins, I have continued travelling and exploring as much as I can. ",N/A,,100%,t,https://a0.muscache.com/im/pictures/user/61021a94-aab8-48fa-9609-5fdb0efff44e.jpg?aki_policy=profile_small,,,,1,"['email', 'phone']",t,t,"Genève, Switzerland",,,46.21005,6.13376,,Entire home/apt,10,,1.5 baths,3,,,,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-12-29,53,6,0,,,,,4.96,5.0,5.0,,4.85,,,1,1,0,0,1.3
1071615953845526149,https://www.nocarz.pl/rooms/1071615953845526149,,2024-12-29,city scrape,Gorgeous one-bedroom apartment - 410000,This one bedroom apartment is very well located in the top of the plateau de Champel close to Rive and Plainpalais. Entirely refurnished you will quickly feel at home in this modern and design surrounding.,,https://a0.muscache.com/pictures/miso/Hosting-1071615953845526149/original/2910edc0-46dd-421e-81f0-614c51de6927.png,,https://www.nocarz.pl/users/show/273734321,Homenhancement,,"Geneva, Switzerland","Nous gérons plus de 450 appartements à Genève et 60 appartements à Lausanne. 
Nous avons également des appartements à Bruxelles et Fribourg.
N'hésitez pas à nous contacter pour toute demande d'information complémentaire.
Nous sommes à votre service pour vous aider à trouver le parfait appartement pour votre séjour à Genève, Lausanne, Fribourg et Bruxelles.

La fameuse Equipe Réservations 
Sophie Gremaud
Homenhancement  SA",,88%,73%,f,https://a0.muscache.com/im/pictures/user/41b9e759-7a64-4bea-bad6-43fd63d43571.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/41b9e759-7a64-4bea-bad6-43fd63d43571.jpg?aki_policy=profile_x_medium,,375,377,"['email', 'phone', 'work_email']",t,t,,Commune de Genève,,,6.15507,Entire rental unit,Entire home/apt,,1.0,1 bath,0,1,"[""Essentials"", ""Paid washer \u2013 In building"", ""Iron"", ""Pets allowed"", ""Drying rack for clothing"", ""Clothing storage"", ""Smart lock"", ""Self check-in"", ""Hot water"", ""TV"", ""Wifi"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Bed linens""]",$180.00,4,,4,4,999,999,4.0,999.0,,,,,2,2,2024-12-29,,,,,,,,,,,,,,t,175,175,,0,
854405996300100450,https://www.nocarz.pl/rooms/854405996300100450,,2024-12-29,city scrape,,"You will have access to the laundry machine (inside the flat), shared bathroom with a bathtub and a fully equipped kitchen to cook your own meals. All amenities, such as towels, beddings, shampoo, etc are included.<br />The room is also well located in Geneva, with trams 14 and 18, 3 minutes walk away, and bus 11, 5 minutes away. Gare Cornavin is 7 minutes away by tram and the UN is 20 minutes by bus.",,https://a0.muscache.com/pictures/miso/Hosting-854405996300100450/original/00f9f80f-47ba-4229-a6e9-0c1b346f3ec5.jpeg,49806041,https://www.nocarz.pl/users/show/49806041,Philippe,2015-11-24,,,within a day,,30%,f,https://a0.muscache.com/im/pictures/user/cf5f8c99-f7e4-4f60-bb15-0670b76b9f5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cf5f8c99-f7e4-4f60-bb15-0670b76b9f5f.jpg?aki_policy=profile_x_medium,,3,6,"['email', 'phone']",t,,,Commune de Genève,,46.21347,6.12524,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,,$65.00,5,365,5,5,365,365,5.0,,,t,,26,56,,,0,0,0,,,,,,,,,,,f,3,,3,0,
,https://www.nocarz.pl/rooms/7794862,,2024-12-29,city scrape,Cozy Furnished Loft in Geneva City Center,"This charming loft beneath the eaves will undeniably make you fall in love with Geneva. Nested on the last floor of a 19th century building in the heart of the city, it is surrounded by 3 terraces overlooking the Jet d'eau (Geneva's most famous landmark). Its living room is equipped with a fireplace and high ceilings. The light-filled flat is rented with its elegant furniture and equipped kitchen and is a perfect place to enjoy Geneva all year long.","The loft is ideally located in the city center, in the lively Eaux Vives area. It is situated in a calm and charming street and is not noisy at all. <br />It has a bus stop, a tram stop, and a bike rental shop around the corner.",https://a0.muscache.com/pictures/b72c62e4-f516-40c1-bc1f-fe426f2b5c0d.jpg,26736795,https://www.nocarz.pl/users/show/26736795,,2015-01-26,"Geneva, Switzerland","",within a day,,,f,https://a0.muscache.com/im/pictures/user/5389c1f7-c490-46e8-a078-4c6cf79df01a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5389c1f7-c490-46e8-a078-4c6cf79df01a.jpg?aki_policy=profile_x_medium,,,,"['email', 'phone']",,t,"Genève, Switzerland",Commune de Genève,,46.2011,,Entire loft,Entire home/apt,2,1.0,1 bath,1,,"[""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Stove"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Fireplace guards"", ""Elevator"", ""Dining table"", ""Ethernet connection"", ""Portable fans"", ""Hangers"", ""TV with standard cable"", ""Clothing storage: dresser"", ""Iron"", ""Drying rack for clothing"", ""Oven"", ""Toaster"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Cleaning products"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Room-darkening shades""]",$125.00,120,360,30,120,360,360,112.1,360.0,,t,0,0,0,122,2024-12-29,1,0,,,2020-11-24,4.0,,3.0,5.0,5.0,,4.0,,f,1,,0,0,0.02
39904657,,20241229042300,2024-12-29,city scrape,Bel Appartement dans quartier résidentiel,"Very nice apartment, tastefully decorated.<br />1 beautiful living room overlooking a large fully designed terrace. 1 bathroom and 1 shower room, 2 beautiful bedrooms. Possibility of having parking in the basement if necessary.<br />Quiet and wooded residential environment, enjoying a large park nearby.<br />also 5 minutes to Lake Geneva",Quiet residential neighborhood,https://a0.muscache.com/pictures/2f9a1c47-da34-4c27-bf5e-02497ca89898.jpg,28768692,https://www.nocarz.pl/users/show/28768692,Narjes,2015-03-04,,"",a few days or more,,0%,f,https://a0.muscache.com/im/pictures/user/239db99e-634d-4037-8a36-a940f504d1e9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/239db99e-634d-4037-8a36-a940f504d1e9.jpg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Vandoeuvres,,46.21436,6.19121,Entire rental unit,Entire home/apt,5,2.0,2 baths,3,5,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""TV"", ""Breakfast"", ""Private entrance"", ""Wifi"", ""Kitchen"", ""Hangers"", ""Free parking on premises""]",$270.00,3,40,3,3,40,,3.0,40.0,,,23,,83,,,2,0,0,2021-08-08,,4.5,,5.0,5.0,5.0,,4.5,,f,1,1,0,,0.05
39661332,https://www.nocarz.pl/rooms/39661332,20241229042300,2024-12-29,previous scrape,"Cosy home on top floor, very central & quiet, 58m2","Very nice and quiet apartment, with cosy furniture and decoration. Free wifi.<br /><br />Full of light on the top-floor: enjoy a cup of coffee in the loggia with a Geneva 270° view!<br /><br />Very central and well located: 7 minutes from the very center and Cornavin Railway Station (trams 14 & 18). 10 minutes from the airport/Palexpo by bus. Very close from UN. Easy to park a car around.<br /><br />Bakery, pharmacy, grocery shop (24/24) and “balexert"" shopping center within walking distance. The area is quiet and very safe.","Quiet and very safe, lots of public transport, a bakery, a pharmacy and a few restaurants (including one making great fondues). Green areas (parks) are nearby.<br /><br />Quiet and safe area, with plenty of public transports. There is a very good bakery, pharmacy and a few restaurants (including a very good one with swiss fondue). There are green areas near the apartment.",https://a0.muscache.com/pictures/f7719499-b18b-48e9-b947-98be7b44909f.jpg,22566928,https://www.nocarz.pl/users/show/22566928,Nuno,2014-10-15,"Geneva, Switzerland","",N/A,N/A,N/A,f,,,,2,2,"['email', 'phone']",,t,"Genève, Switzerland",,,46.21602,6.12011,Entire rental unit,Entire home/apt,4,,,1,,,,,1125,3,3,1125,1125,,1125.0,,t,0,0,,0,2024-12-29,42,0,,,2021-01-04,4.95,5.0,4.95,4.93,4.95,4.9,4.71,,f,1,1,0,0,0.67
1191104535297737361,,20241229042300,2024-12-29,city scrape,Appartement 6 pièces à Carouge,"Fully furnished apartment on the top floor with 4 bedrooms, 2 bathrooms, a large terrace and all appliances. WiFi, TV, and all charges are included. This family home is close to all sights and amenities.",,,37332526,https://www.nocarz.pl/users/show/37332526,Frederic,,,"",N/A,N/A,,f,https://a0.muscache.com/im/users/37332526/profile_pic/1438260527/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/37332526/profile_pic/1438260527/original.jpg?aki_policy=profile_x_medium,,,1,"['email', 'phone']",,t,,Carouge,,46.18149,6.14381,Entire rental unit,Entire home/apt,5,2.0,2 baths,,5,,$155.00,90,330,,,330,330,90.0,330.0,,t,0,0,0,150,2024-12-29,0,0,,,,,,,,,,,,,1,1,0,0,
,https://www.nocarz.pl/rooms/35854286,20241229042300,2024-12-29,city scrape,4th charming room in Geneva,"Our home is extremely charming, it's part of a 5 villas group that were all built during the year 1898, all located in a private and quiet road. The tram is 100 meters away from the house which makes it super easy to access the city center.",,https://a0.muscache.com/pictures/e2da3003-5778-4d07-a843-9a5ad4de3015.jpg,14849570,https://www.nocarz.pl/users/show/14849570,Brigitte,2015-09-16,"Geneva, Switzerland","J'aime beaucoup la présence de visiteurs qui, s'ils choisissent ma maison, auront certainement du plaisir à y vivre et à y rencontrer d'autres voyageurs ou locataires à plus ou moins long terme. J'ai en tout  6 chambres à disposition dont une est déjà louée et deux sont pour moi. Beaucoup d'amis ou de clients passent au rez-de-chaussée et nous faisons parfois, hors-mis des séances de travail, aussi des diners et des fêtes, surtout en été. Si vous aimez le calme absolu vous ne devez pas choisir ce logement. Ici on aime la vie et on se régale!",within a few hours,100%,93%,t,https://a0.muscache.com/im/users/14849570/profile_pic/1442450181/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/14849570/profile_pic/1442450181/original.jpg?aki_policy=profile_x_medium,,,8,,t,,"Chêne-Bougeries, Genève, Switzerland",Chêne-Bougeries,,46.20039,6.17554,,,1,2.0,,1,1,"[""Conditioner"", ""Hair dryer"", ""Private backyard \u2013 Fully fenced"", ""65 inch TV with Netflix, standard cable"", ""Hot water kettle"", ""Indoor fireplace: wood-burning"", ""Bathtub"", ""Freezer"", ""Stove"", ""Laundromat nearby"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""BBQ grill"", ""Private hot tub"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Paid dryer \u2013 In unit"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Rice maker"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Clothing storage"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Outdoor dining area"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Outdoor kitchen"", ""Crib"", ""Heating"", ""Shampoo"", ""Sun loungers"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in"", ""Blender"", ""Paid washer \u2013 In unit""]",$150.00,2,730,2,2,730,730,2.0,730.0,,t,27,57,87,362,2024-12-29,,1,0,2023-04-30,,5.0,4.8,5.0,5.0,5.0,5.0,5.0,,,5,0,5,0,0.25
939735278439640518,https://www.nocarz.pl/rooms/939735278439640518,20241229042300,2024-12-29,city scrape,Duplex au centre ville,"Magnificent super well located duplex apartment has a living room to eat a living room, a balcony with a nice view, a kitchen on the first floor and on the second floor, a bedroom and a bathroom.<br />Below the building you have a super Spanish restaurant supermarkets one minute walk away and parking spots nearby.<br />It is located in the plainpalais neighborhood 10 minutes from Gare de Cornavin<br /><br />Thanks to the central location of this home, you and yours will have everything at your fingertips.",Barrio de PLAINPALAIS,https://a0.muscache.com/pictures/miso/Hosting-939735278439640518/original/0ff0577a-7a6f-4809-adf0-5c5fd219420f.jpeg,349048699,https://www.nocarz.pl/users/show/349048699,Viviana,2020-06-07,,,a few days or more,14%,0%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,,2,"['email', 'phone']",f,f,"Genève, Switzerland",Commune de Genève,,46.19013,6.13591,Entire rental unit,Entire home/apt,2,1.0,1 bath,,1,,$106.00,3,365,3,3,365,365,3.0,,,,24,54,83,356,2024-12-29,1,0,0,2023-08-01,2023-08-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,2,0,0,0.06
